api_id,capability_1,capability_2,capability_3
1_cent_sms_sendsms,send,sms,phone
2factor_authentication_india_send_transactional_sms,send,sms,messages
31events_send_native_calendar_invites_accountcreate,accountcreate,,
31events_send_native_calendar_invites_eventsend,eventsend,,
31events_send_native_calendar_invites_eventcreate,eventcreate,,
31events_send_native_calendar_invites_eventbulksubscribe,eventbulksubscribe,,
42call_rest_sms,sms,,
42call_rest_login,login,,
42call_rest_v2_sms,sms,module,
addressable_create_message_templates,create,message,creates
addressable_create_send_a_mailer,send,create,creates
agora_io_https_www_agora_io_product,https,allows,users
amazechatzones_none,nakxnakas,,
android_push_notification_service_apns,notification,push,android
another_rapid_test_demo_max,max,hello,demo
anyemail_send_email,send,email,
api2_ninja_network_utils_reverse_ip,reverse,,
api2_ninja_network_utils_nslookup,nslookup,,
api2_ninja_network_utils_ip_geo,country,city,like
api_whatsapp_mutechat,mutechat,,
api_whatsapp_unmutechat,unmutechat,,
api_whatsapp_markchatunread,markchatunread,,
api_whatsapp_readchat,readchat,,
api_whatsapp_unarchivechat,unarchivechat,,
api_whatsapp_unpinchat,unpinchat,,
api_whatsapp_archivechat,archivechat,,
api_whatsapp_pinchat,pinchat,,
api_whatsapp_setwebhook,setwebhook,,
api_whatsapp_sendstatetyping,sendstatetyping,,
api_whatsapp_cancelpresence,cancelpresence,,
api_whatsapp_clearstate,clearstate,,
api_whatsapp_sendstaterecording,sendstaterecording,,
api_whatsapp_setsubjectgroup,setsubjectgroup,,
api_whatsapp_addgroupparticipant,addgroupparticipant,,
api_whatsapp_setdescriptiongroup,setdescriptiongroup,,
api_whatsapp_leavegroup,leavegroup,,
api_whatsapp_sendfile,sendfile,,
api_whatsapp_promotegroupparticipant,promotegroupparticipant,,
api_whatsapp_sendfileurl,sendfileurl,,
api_whatsapp_sendcontact,sendcontact,,
api_whatsapp_sendmessage,sendmessage,,
api_whatsapp_sendbutton,sendbutton,,
api_whatsapp_demotegroupparticipant,demotegroupparticipant,,
api_whatsapp_setpresence,setpresence,,
api_whatsapp_group,group,,
api_whatsapp_sendlocation,sendlocation,,
api_whatsapp_setsettingsgroup,setsettingsgroup,,
api_whatsapp_setpictureurl,setpictureurl,,
api_whatsapp_sendlist,sendlist,,
api_whatsapp_reboot,reboot,,
api_whatsapp_removegroupparticipant,removegroupparticipant,,
approves_2_0_dsf,dsf,ewrferf,
ar_code_augmented_reality_codes_generator_create_an_ar_code,create,parameters,plan
ar_code_augmented_reality_codes_generator_scans_statistics,number,password,statistics
ar_code_augmented_reality_codes_generator_edit_an_ar_code,text,indicate,edit
ardic_speech_to_text_service_speech_to_text_file,json,using,text
ardic_speech_to_text_service_speech_to_text_base64,text,files,audio
automatic_custom_response_creator_get_response,add,type,response
automationtest_prod_testtt,gijojg,testtt,
aweber_create_broadcast,list,create,broadcast
aweber_move_subscriber,list,account,subscriber
aweber_cancel_scheduled_broadcast,list,previously,cancel
aweber_schedule_broadcast,list,specific,schedule
aweber_add_custom_field,add,account,field
aweber_add_subscriber,list,add,subscriber
barbaraaa_m,crypto,,
bcolimited_endpoint1,endpoint,desc,endpoint1
bermainapi_whatsapp_gateway_sendmessage,message,text,sending
bitikas1_lopp1,lopp1,niisamalopp,
blanq_createshortlink,create,link,long
bombsaway_bombed,sms,sends,bombed
botlibre_form_check_instance,details,check,instance
botlibre_form_check_user,user,details,check
botlibre_form_chat,message,xml,chat
brcd_hello,hello,brcd,
brcd_hello_copy,text,copy,hello
bulksmsapi_api_command_username_test_password_test_cmd_x,http,username,password
cakemail_documentation,documentation,,
callbackfy_callback,response,requested,callback
caller_id_search_mobile,search,number,details
canitobot_webhook_facebook,send,using,sms
celitech_bee_wireless_esim_create_session,create,specific,using
celitech_bee_wireless_esim_create_a_purchase_esim,create,time,specific
celitech_bee_wireless_esim_create_a_customer_optional,create,specific,optional
cfc_capitalize_for_capitalists_capitalize_it,endpoint,text,capitalize
chat_rooms_mars_test_chat,required,users,start
checky_verify_phone_number_verify_batch,endpoint,request,number
checky_verify_phone_number_verify_post,endpoint,request,number
checky_verify_phone_number_verify,endpoint,request,country
checky_verify_phone_number_carrier_batch,endpoint,number,given
checky_verify_phone_number_carrier_post,endpoint,number,given
checky_verify_phone_number_carrier,endpoint,number,given
checky_verify_phone_number_verify_batch-2,endpoint,request,number
checky_verify_phone_number_verify_post-2,endpoint,request,number
checky_verify_phone_number_carrier_batch-2,endpoint,number,given
checky_verify_phone_number_carrier_post-2,endpoint,number,given
clan_meeting_video_clan_meeting_video_rest_api_v1_0_0,available,mobile,live
clickatell_send_message,send,message,
clickbaitiness_detect,send,score,receive
clicksend_sms_send_voice_tts,send,text,speech
clicksend_sms_send_sms,send,sms,sends
clicksend_sms_send_post_letter,send,post,letter
clicksend_sms_send_fax,send,fax,
colis_nc_count,pass,count,par
colis_nc_latest,status,latest,dernier
colis_nc_latest_for_all,status,latest,collection
colis_nc_colis,colis,etapes,
compras_net_api_1_obter_c_digo_do_chat_code_to_chat,chat,digo,obter
compras_net_api_2_mensagens_do_chat_chat_message,message,chat,mensagens
contact_information_exchange_detector_detect,body,contact,detect
